time,latitude,longitude,mag,place,type,satellite
2022-03-23,41.1617,43.9674,4,"22 km WSW of Metsavan, Armenia",earthquake,null
2021-12-05,38.8916,43.4846,4.9,"18 km SE of Erci?, Turkey",earthquake,null
2021-10-24,41.105,44.0514,4.1,"18 km SW of Metsavan, Armenia",earthquake,null
2021-10-20,38.6076,43.3512,4.4,"12 km NNW of Van, Turkey",earthquake,null
2021-10-20,38.6719,43.0894,4.2,"31 km NNW of Edremit, Turkey",earthquake,null
2021-10-10,38.6105,43.1477,4.4,"23 km NNW of Edremit, Turkey",earthquake,null
2021-08-20,38.5978,44.2294,4,"21 km ESE of Özalp, Turkey",earthquake,null
2021-08-16,41.1691,43.9722,4.8,"21 km W of Metsavan, Armenia",earthquake,null
2021-08-15,41.1211,44.12,4.1,"12 km SW of Metsavan, Armenia",earthquake,null
2021-06-22,38.9298,44.5543,4.2,"41 km W of Qarah ???’ od D?n, Iran",earthquake,null
2021-03-12,39.6645,43.7922,4.1,"17 km NE of Diyadin, Turkey",earthquake,null
2021-02-13,40.0309,44.4522,4.9,"0 km NNE of Hovtashen, Armenia",earthquake,null
2021-02-05,40.5023,45.3486,5.2,"9 km SSW of Vahan, Armenia",earthquake,null
2021-01-23,39.6733,45.6959,4.4,"16 km ENE of Zarrit’ap’, Armenia",earthquake,null
2020-12-14,38.831,43.4625,4.7,"23 km SSE of Erci?, Turkey",earthquake,null
2020-10-05,40.6674,47.7574,4.1,"2 km NE of Göyçay, Azerbaijan",earthquake,null
2020-08-11,39.851,44.1997,4.3,Turkey-Iran border region,earthquake,null
2020-04-03,38.8489,43.523,4.7,"24 km SE of Erci?, Turkey",earthquake,null
2020-02-17,38.6408,43.1956,4,eastern Turkey,earthquake,null
2020-01-18,40.9622,44.0131,3.9,"15 km NNE of Shirak, Armenia",earthquake,null
2019-11-19,38.7317,44.4347,4,"39 km ENE of Özalp, Turkey",earthquake,null
2019-09-14,38.9987,44.2673,4.4,"45 km NNE of Özalp, Turkey",earthquake,null
2019-09-10,41.0373,44.1411,4.7,"15 km SW of Tashir, Armenia",earthquake,null
2019-08-11,41.6062,46.6978,4.3,"5 km ESE of Zaqatala, Azerbaijan",earthquake,null
2019-04-07,41.5202,46.8606,4.2,"7 km NW of Çinarl?, Azerbaijan",earthquake,null
2019-02-18,38.587,44.1295,4.1,"14 km ESE of Özalp, Turkey",earthquake,null
2023-01-18,38.3997,44.9477,4.4,"16 km S of Khowy, Iran",earthquake,null
2023-02-11,41.9458,42.2302,4.4,"18 km E of Ozurgeti, Georgia",earthquake,null
2022-10-05,38.5939,45.0923,4.5,"13 km ENE of Khowy, Iran",earthquake,null
2023-01-28,38.6005,44.8287,4.5,"12 km WNW of Khowy, Iran",earthquake,null
2023-01-29,38.41,44.8049,4.5,"20 km SW of Khowy, Iran",earthquake,null
